,root:3Y,root:4M,root:B
ERR4281051,0.44330007,0.26952803,0.28717187
ERR4281134,0.33780706,0.33824277,0.32395017
ERR4281155,0.28488788,0.43616214,0.27895
ERR4281166,0.33780706,0.33824277,0.32395017
ERR4281381,0.33780706,0.33824277,0.32395017
ERR4281408,0.33780706,0.33824277,0.32395017
ERR4281542,0.33780706,0.33824277,0.32395017
ERR4281612,0.33780706,0.33824277,0.32395017
ERR4281664,0.095351964,0.8683181,0.036329966
ERR4281710,0.33780706,0.33824277,0.32395017
ERR4281718,0.44330007,0.26952803,0.28717187
ERR4281735,0.33780706,0.33824277,0.32395017
ERR4281741,0.3376619,0.27712935,0.38520876
ERR4281747,0.33780706,0.33824277,0.32395017
ERR4281760,0.33780706,0.33824277,0.32395017
ERR4281766,0.33780706,0.33824277,0.32395017
ERR4281772,0.33780706,0.33824277,0.32395017
ERR4281778,0.33780706,0.33824277,0.32395017
ERR4281786,0.33780706,0.33824277,0.32395017
ERR4281790,0.44295484,0.17949532,0.37754977
ERR4281800,0.1085773,0.8457511,0.04567156
ERR4281808,0.33780706,0.33824277,0.32395017
ERR4281810,0.33780706,0.33824277,0.32395017
ERR4281814,0.33780706,0.33824277,0.32395017
ERR4281823,0.07535638,0.83553064,0.08911304
ERR4281833,0.09032579,0.5623909,0.34728327
ERR4281835,0.33780706,0.33824277,0.32395017
ERR4281839,0.33780706,0.33824277,0.32395017
ERR4281847,0.33780706,0.33824277,0.32395017
ERR4281854,0.33780706,0.33824277,0.32395017
ERR4281873,0.44330007,0.26952803,0.28717187
ERR4281879,0.44330007,0.26952803,0.28717187
ERR4281885,0.071237676,0.84599113,0.08277108
ERR4281892,0.109879434,0.8429724,0.04714818
ERR4281902,0.44330007,0.26952803,0.28717187
ERR4281906,0.40508273,0.25003585,0.34488142
ERR4281914,0.43731484,0.1686984,0.39398682
ERR4281930,0.44406512,0.26391536,0.29201952
ERR4281935,0.44330007,0.26952803,0.28717187
ERR4281947,0.33780706,0.33824277,0.32395017
ERR4281953,0.42548794,0.15109493,0.42341712
ERR4281960,0.1054524,0.85131574,0.043231916
ERR4281964,0.33780706,0.33824277,0.32395017
ERR4281968,0.44598356,0.19576204,0.35825434
ERR4281972,0.43655878,0.27131858,0.29212266
ERR4281976,0.44330007,0.26952803,0.28717187
ERR4281987,0.33780706,0.33824277,0.32395017
ERR4281993,0.4449614,0.25654715,0.29849142
ERR4281999,0.32911727,0.23137625,0.43950653
ERR4282009,0.44330007,0.26952803,0.28717187
ERR4282016,0.33780706,0.33824277,0.32395017
ERR4282021,0.33780706,0.33824277,0.32395017
ERR4282026,0.33780706,0.33824277,0.32395017
ERR4282032,0.33780706,0.33824277,0.32395017
ERR4282037,0.33780706,0.33824277,0.32395017
ERR4282054,0.33780706,0.33824277,0.32395017
ERR4282061,0.4433025,0.26951137,0.28718615
ERR4282066,0.4433355,0.26928356,0.287381
ERR4282070,0.33780706,0.33824277,0.32395017
ERR4282076,0.33780706,0.33824277,0.32395017
ERR4282084,0.4433144,0.26942906,0.2872565
ERR4282091,0.073589034,0.83892816,0.08748287
ERR4282102,0.33780706,0.33824277,0.3239502
ERR4282108,0.33780706,0.33824277,0.3239502
ERR4282113,0.34482697,0.14762019,0.5075529
ERR4282119,0.33780706,0.33824277,0.32395017
ERR4282125,0.33780706,0.33824277,0.32395017
ERR4282147,0.44350412,0.26810196,0.2883939
ERR4282152,0.08584759,0.5488764,0.36527604
ERR4282155,0.4435384,0.26775795,0.28870368
ERR4282159,0.43545863,0.18157527,0.38296607
ERR4282165,0.4450386,0.25413218,0.3008293
ERR4282169,0.33780706,0.33824277,0.32395017
ERR4282174,0.33780706,0.33824277,0.32395017
ERR4282179,0.445176,0.25437504,0.30044895
ERR4282186,0.44359812,0.18190782,0.37449408
ERR4282190,0.44330007,0.26952803,0.28717187
ERR4282196,0.4437766,0.26614577,0.29007766
ERR4282199,0.33780706,0.33824277,0.32395017
ERR4282203,0.33780706,0.33824277,0.32395017
ERR4282213,0.104618415,0.66234523,0.23303632
ERR4282224,0.33780706,0.33824277,0.32395017
ERR4282226,0.16950303,0.4157953,0.41470164
ERR4282230,0.4434659,0.2683723,0.28816175
ERR4282236,0.44436756,0.23716249,0.31847
ERR4282241,0.43471074,0.18149142,0.38379776
ERR4282254,0.44338357,0.26894966,0.28766677
ERR4282256,0.44330007,0.26952803,0.28717187
ERR4282260,0.44346,0.2684145,0.2881255
ERR4282265,0.44330007,0.26952803,0.28717187
ERR4282274,0.09082519,0.5150857,0.39408916
ERR4282281,0.4417066,0.18557073,0.3727227
ERR4282287,0.44330007,0.26952803,0.28717187
ERR4282298,0.44079736,0.22296387,0.3362388
ERR4282301,0.44330007,0.26952803,0.28717187
ERR4282310,0.27913925,0.3685816,0.35227922
ERR4282315,0.44715336,0.2180263,0.3348203
ERR4282321,0.33780706,0.33824277,0.32395017
ERR4282326,0.44374722,0.18943259,0.3668202
ERR4282330,0.37700713,0.13382259,0.48917034
ERR4282336,0.44331643,0.2694151,0.2872685
ERR4282342,0.33780706,0.33824277,0.32395017
ERR4282348,0.33780706,0.33824277,0.32395017
ERR4282361,0.42996064,0.17752676,0.39251256
ERR4282371,0.44331524,0.2694232,0.2872615
ERR4282375,0.07094264,0.81225216,0.116805196
ERR4282386,0.44335765,0.2691293,0.28751305
ERR4282390,0.33581218,0.24708083,0.41710702
ERR4282401,0.44330308,0.2695076,0.28718936
ERR4282410,0.15614024,0.73076737,0.11309237
ERR4282414,0.43418643,0.1650978,0.4007157
ERR4282420,0.18417764,0.45346925,0.36235306
ERR4282430,0.33780706,0.33824277,0.32395017
ERR4282434,0.44383183,0.2656813,0.2904869
ERR4282439,0.33780706,0.33824277,0.32395017
ERR4282441,0.33780706,0.33824277,0.32395017
ERR4282445,0.26433778,0.47651333,0.2591489
ERR4282449,0.44330025,0.26952684,0.28717294
ERR4282455,0.44330007,0.26952803,0.28717187
ERR4282470,0.33780706,0.33824277,0.32395017
ERR4282472,0.33780706,0.33824277,0.32395017
ERR4282476,0.41258317,0.10061662,0.48680025
ERR4282489,0.44330007,0.26952803,0.28717187
ERR4282494,0.33780706,0.33824277,0.32395017
ERR4282499,0.44407275,0.26393348,0.2919938
ERR4282509,0.4463841,0.2064102,0.34720564
ERR4282520,0.44330007,0.26952803,0.28717187
ERR4282548,0.4438337,0.2656976,0.29046866
ERR4282576,0.33780706,0.33824277,0.32395017
ERR4282583,0.33780706,0.33824277,0.32395017
ERR4282603,0.33780706,0.33824277,0.32395017
ERR4282607,0.44330364,0.26950327,0.28719306
ERR4282652,0.4434239,0.25585857,0.30071756
ERR4282661,0.44330007,0.26952803,0.28717187
ERR4282667,0.33780706,0.33824277,0.32395017
ERR4282679,0.33780706,0.33824277,0.32395017
ERR4282694,0.44339472,0.26887217,0.28773317
ERR4282715,0.44330058,0.26952428,0.2871751
ERR4282718,0.33780706,0.33824277,0.32395017
ERR4282730,0.33780706,0.33824277,0.32395017
ERR4282735,0.44330007,0.26952803,0.28717187
ERR4282757,0.3384566,0.15807192,0.50347155
ERR4282777,0.33780706,0.33824277,0.32395017
ERR4282782,0.44394654,0.2644204,0.291633
ERR4282786,0.44700322,0.22862633,0.32437047
ERR4282794,0.44330007,0.26952803,0.28717187
ERR4282807,0.33780706,0.33824277,0.32395017
ERR4282822,0.33780706,0.33824277,0.32395017
ERR4282828,0.43767634,0.16646451,0.3958591
ERR4282833,0.33780706,0.33824277,0.32395017
ERR4282837,0.33780706,0.33824277,0.32395017
ERR4282844,0.439966,0.19946401,0.36057004
ERR4282863,0.06059665,0.59875816,0.3406451
ERR4282873,0.07852449,0.8298225,0.09165301
ERR4282879,0.33780706,0.33824277,0.32395017
ERR4282884,0.1144516,0.49289003,0.3926584
ERR4282888,0.44065592,0.23104902,0.32829508
ERR4282891,0.33780706,0.33824277,0.32395017
ERR4282902,0.08420607,0.83831674,0.077477254
ERR4282905,0.15421304,0.63909847,0.20668855
ERR4282913,0.07563554,0.7044587,0.21990569
ERR4282920,0.4471054,0.22305754,0.32983702
ERR4282929,0.33780706,0.33824277,0.32395017
ERR4282931,0.33780706,0.33824277,0.32395017
ERR4282943,0.07439003,0.8378558,0.08775411
ERR4282947,0.44330007,0.26952803,0.28717187
ERR4282953,0.44342577,0.2686553,0.28791898
ERR4282961,0.33780706,0.33824277,0.32395017
ERR4282966,0.33780706,0.33824277,0.32395017
ERR4282970,0.4222346,0.14836152,0.4294039
ERR4282977,0.33780706,0.33824277,0.32395017
ERR4282982,0.33780706,0.33824277,0.32395017
ERR4282986,0.44330007,0.26952803,0.28717187
ERR4282997,0.33780706,0.33824277,0.32395017
ERR4283001,0.44680184,0.21200888,0.34118927
ERR4283007,0.43632635,0.14671212,0.41696155
ERR4283019,0.33780706,0.33824277,0.32395017
ERR4283025,0.44330007,0.26952803,0.28717187
ERR4283032,0.33780706,0.33824277,0.32395017
ERR4283036,0.088072024,0.82333285,0.0885952
ERR4283043,0.44515714,0.22655626,0.32828662
ERR4283048,0.4453507,0.24923277,0.30541652
